stateName,agencyName,year,totalSpending,prevTotalSpending,yoyPCT
Alabama,National Endowment for the Arts,2025,1217232.01,1602948.99,-24.06296
Alabama,National Endowment for the Humanities,2019,1105848,NULL,NULL
Alabama,National Endowment for the Humanities,2020,2630810,1105848,137.899783
Alabama,National Endowment for the Humanities,2021,2289866.31,2630810,-12.959647
Alabama,National Endowment for the Humanities,2022,2249565.17,2289866.31,-1.759977
Alabama,National Endowment for the Humanities,2023,1961767.51,2249565.17,-12.793479
Alabama,National Endowment for the Humanities,2024,1964545,1961767.51,0.14158
Alabama,National Endowment for the Humanities,2025,660625.7,1964545,-66.372585
Alabama,National Science Foundation,2019,59327049,NULL,NULL
Alabama,National Science Foundation,2020,66212988,59327049,11.606744
Alabama,National Science Foundation,2021,63052187,66212988,-4.773687
Alabama,National Science Foundation,2022,75794576,63052187,20.209273
Alabama,National Science Foundation,2023,101744362,75794576,34.236996
Alabama,National Science Foundation,2024,93457133.5,101744362,-8.145147
Alabama,National Science Foundation,2025,94957032.72,93457133.5,1.604906
Alabama,Nuclear Regulatory Commission,2019,0,NULL,NULL
Alabama,Nuclear Regulatory Commission,2020,0,0,NULL
Alabama,Nuclear Regulatory Commission,2021,976531.51,0,NULL
Alabama,Nuclear Regulatory Commission,2022,375735,976531.51,-61.523514
Alabama,Nuclear Regulatory Commission,2023,0,375735,-100
Alabama,Nuclear Regulatory Commission,2024,493560,0,NULL
Alabama,Nuclear Regulatory Commission,2025,0,493560,-100
Alabama,Office of Personnel Management,2020,0,NULL,NULL
Alabama,Pension Benefit Guaranty Corporation,2024,260986600,NULL,NULL
Alabama,Railroad Retirement Board,2019,236978852.3,NULL,NULL
Alabama,Railroad Retirement Board,2020,242181478.2,236978852.3,2.195396
Alabama,Railroad Retirement Board,2021,240333940.6,242181478.2,-0.762873
Alabama,Railroad Retirement Board,2022,241733783.2,240333940.6,0.582457
Alabama,Railroad Retirement Board,2023,251434555.8,241733783.2,4.012998
Alabama,Railroad Retirement Board,2024,254627196.6,251434555.8,1.26977
Alabama,Railroad Retirement Board,2025,256680930.9,254627196.6,0.806565
Alabama,Small Business Administration,2019,5790036.33,NULL,NULL
Alabama,Small Business Administration,2020,6867971844,5790036.33,118517.0769
Alabama,Small Business Administration,2021,3710773573,6867971844,-45.969877
Alabama,Small Business Administration,2022,163711601,3710773573,-95.588208
Alabama,Small Business Administration,2023,0,163711601,-100
Alabama,Small Business Administration,2024,4286126.64,0,NULL
Alabama,Small Business Administration,2025,0,4286126.64,-100
Alabama,Social Security Administration,2019,19446295411,NULL,NULL
Alabama,Social Security Administration,2020,20250074622,19446295411,4.133328
Alabama,Social Security Administration,2021,20725071418,20250074622,2.345654
Alabama,Social Security Administration,2022,22037760392,20725071418,6.333821
Alabama,Social Security Administration,2023,24153583397,22037760392,9.600898
Alabama,Social Security Administration,2024,25703993979,24153583397,6.418967
Alabama,Social Security Administration,2025,27494556449,25703993979,6.966086
Alabama,U.S. Agency for Global Media,2020,41144.84,NULL,NULL
Alaska,Agency for International Development,2018,77182,NULL,NULL
Alaska,Agency for International Development,2019,5657936.74,77182,7230.642818
Alaska,Agency for International Development,2020,7699801.76,5657936.74,36.088509
Alaska,Agency for International Development,2021,7078548.12,7699801.76,-8.068436
Alaska,Agency for International Development,2022,10661660.59,7078548.12,50.619313
Alaska,Agency for International Development,2023,13448332.22,10661660.59,26.137313
Alaska,Agency for International Development,2024,5992069.05,13448332.22,-55.443775
Alaska,Agency for International Development,2025,383055.69,5992069.05,-93.607288
Alaska,Consumer Product Safety Commission,2018,1890,NULL,NULL
