Department of Energy,2025,DE,Delaware,119198275.43
Department of Veterans Affairs,2025,OR,Oregon,119136497.78
Environmental Protection Agency,2025,WY,Wyoming,118370810.06
Environmental Protection Agency,2025,SD,South Dakota,117855685.72
Nuclear Regulatory Commission,2025,MD,Maryland,117134742.00
Department of Energy,2025,ND,North Dakota,116713167.61
Railroad Retirement Board,2025,MA,Massachusetts,115198771.81
Department of Energy,2025,ME,Maine,114652400.85
Department of Veterans Affairs,2025,SD,South Dakota,113495814.90
Federal Communications Commission,2025,AL,Alabama,111662287.38
Railroad Retirement Board,2025,NM,New Mexico,111577300.47
Department of Energy,2025,HI,Hawaii,109945034.91
Federal Communications Commission,2025,OH,Ohio,105719147.69
Department of State,2025,NY,New York,104462511.45
National Science Foundation,2025,TN,Tennessee,103917472.00
Department of State,2025,NE,Nebraska,103372498.65
U.S. Agency for Global Media,2025,VA,Virginia,103149757.42
National Science Foundation,2025,OR,Oregon,102347519.03
Railroad Retirement Board,2025,ND,North Dakota,96722197.22
Department of Veterans Affairs,2025,IA,Iowa,95616124.37
National Science Foundation,2025,AL,Alabama,94957032.72
Department of State,2025,SC,South Carolina,94783408.37
Railroad Retirement Board,2025,CT,Connecticut,93675243.21
Department of Energy,2025,WY,Wyoming,93067453.61
Federal Communications Commission,2025,SC,South Carolina,92837698.41
Department of Energy,2025,RI,Rhode Island,92786264.56
National Science Foundation,2025,MO,Missouri,92714255.00
Federal Communications Commission,2025,IA,Iowa,89642491.02
Federal Communications Commission,2025,IL,Illinois,89101084.35
Federal Trade Commission,2025,DC,District of Columbia,88024964.12
Federal Communications Commission,2025,GA,Georgia,87647409.32
Railroad Retirement Board,2025,DE,Delaware,85848313.23
Federal Communications Commission,2025,KY,Kentucky,85554301.19
Railroad Retirement Board,2025,NV,Nevada,85357870.30
National Archives and Records Administration,2025,MD,Maryland,85286074.33
National Aeronautics and Space Administration,2025,PA,Pennsylvania,84654747.42
National Science Foundation,2025,LA,Louisiana,82106797.00
National Aeronautics and Space Administration,2025,NY,New York,82079074.35
Department of Energy,2025,NH,New Hampshire,81948312.14
Department of Veterans Affairs,2025,PR,Puerto Rico,81426422.66
Small Business Administration,2025,DC,District of Columbia,81056414.86
Department of Energy,2025,SD,South Dakota,81045073.18
National Science Foundation,2025,MN,Minnesota,80799395.46
National Science Foundation,2025,RI,Rhode Island,80453039.00
Pension Benefit Guaranty Corporation,2025,VA,Virginia,79496379.26
Department of Housing and Urban Development,2025,DC,District of Columbia,79174809.87
Corporation for National and Community Service,2025,MN,Minnesota,78446480.59
Department of Veterans Affairs,2025,NM,New Mexico,74540805.39
National Science Foundation,2025,OK,Oklahoma,74435898.00
Social Security Administration,2025,AS,American Samoa,72132362.53
National Science Foundation,2025,UT,Utah,71851521.28
Federal Communications Commission,2025,MN,Minnesota,70893325.53
Department of Education,2025,GU,Guam,70477737.27
U.S. International Development Finance Corporation,2025,DC,District of Columbia,70071053.06
National Science Foundation,2025,CT,Connecticut,69798703.34
National Aeronautics and Space Administration,2025,NH,New Hampshire,69326439.11
Department of State,2025,AK,Alaska,67758000.62
Federal Communications Commission,2025,MO,Missouri,67673281.13
Federal Communications Commission,2025,IN,Indiana,67443882.72
Federal Communications Commission,2025,MD,Maryland,66617097.94
National Science Foundation,2025,SC,South Carolina,65941500.00
Environmental Protection Agency,2025,MP,Northern Mariana Islands,65855357.57
Federal Communications Commission,2025,SD,South Dakota,65150033.31
Social Security Administration,2025,MP,Northern Mariana Islands,64730705.62
Small Business Administration,2025,NC,North Carolina,64014766.70
Department of Housing and Urban Development,2025,OK,Oklahoma,63548536.45
Department of Veterans Affairs,2025,WY,Wyoming,63291612.23
Pension Benefit Guaranty Corporation,2025,OH,Ohio,63177466.41
National Science Foundation,2025,IA,Iowa,62492034.00
Commodity Futures Trading Commission,2025,DC,District of Columbia,62482377.16
National Science Foundation,2025,NE,Nebraska,62435674.50
Department of Veterans Affairs,2025,DE,Delaware,61979016.00
Department of Veterans Affairs,2025,NH,New Hampshire,61588517.53
Gulf Coast Ecosystem Restoration Council,2025,LA,Louisiana,61499193.98
Federal Communications Commission,2025,WV,West Virginia,60900807.06
Securities and Exchange Commission,2025,VA,Virginia,60208147.25
Department of Veterans Affairs,2025,HI,Hawaii,59051824.59
District of Columbia Courts,2025,DC,District of Columbia,58964818.14
National Science Foundation,2025,DE,Delaware,58403313.00
National Archives and Records Administration,2025,VA,Virginia,58264246.75
Executive Office of the President,2025,DC,District of Columbia,58248936.38
National Science Foundation,2025,ID,Idaho,57733629.00
Federal Communications Commission,2025,MT,Montana,57275693.10
National Science Foundation,2025,KY,Kentucky,57069540.00
Department of Energy,2025,GU,Guam,56990207.00
Department of Energy,2025,VT,Vermont,56685163.44
National Science Foundation,2025,AK,Alaska,56397109.44
Environmental Protection Agency,2025,VI,U.S. Virgin Islands,56195850.33
Department of Energy,2025,MP,Northern Mariana Islands,56126882.60
Railroad Retirement Board,2025,SD,South Dakota,55557442.25
Department of Energy,2025,AS,American Samoa,55200098.50
Corporation for National and Community Service,2025,CA,California,54802462.05
Department of State,2025,MI,Michigan,54031029.38
Department of Veterans Affairs,2025,RI,Rhode Island,53810775.67
Railroad Retirement Board,2025,ME,Maine,52682838.13
Department of Energy,2025,VI,U.S. Virgin Islands,52222167.00
National Science Foundation,2025,NM,New Mexico,51117006.00
Pension Benefit Guaranty Corporation,2025,PR,Puerto Rico,50787579.14
Department of State,2025,AR,Arkansas,50157817.89
National Science Foundation,2025,KS,Kansas,49841204.00
Environmental Protection Agency,2025,GU,Guam,49488482.92
Gulf Coast Ecosystem Restoration Council,2025,FL,Florida,49143112.60
Environmental Protection Agency,2025,AS,American Samoa,48345474.00
Federal Communications Commission,2025,ND,North Dakota,47771750.18
Department of Education,2025,AS,American Samoa,47581337.19
Federal Communications Commission,2025,NM,New Mexico,46233381.05
National Science Foundation,2025,HI,Hawaii,46119227.84
Consumer Financial Protection Bureau,2025,VA,Virginia,46034767.04
Federal Communications Commission,2025,WA,Washington,45512299.63
National Aeronautics and Space Administration,2025,UT,Utah,45290295.39
National Science Foundation,2025,MS,Mississippi,45077247.00
National Science Foundation,2025,NV,Nevada,44725318.00
Federal Communications Commission,2025,AR,Arkansas,44562100.30
Department of Housing and Urban Development,2025,MD,Maryland,43180335.33
Consumer Financial Protection Bureau,2025,DC,District of Columbia,42630667.20
National Aeronautics and Space Administration,2025,MO,Missouri,42246823.75
National Aeronautics and Space Administration,2025,WV,West Virginia,41402480.20
Department of Veterans Affairs,2025,ND,North Dakota,41093188.59
Department of State,2025,PA,Pennsylvania,40796387.03
National Science Foundation,2025,NH,New Hampshire,40753852.00
National Aeronautics and Space Administration,2025,MI,Michigan,40268931.26
National Aeronautics and Space Administration,2025,TN,Tennessee,40102686.63
Federal Communications Commission,2025,MS,Mississippi,39744724.43
Department of Veterans Affairs,2025,ME,Maine,39309219.04
Corporation for National and Community Service,2025,TX,Texas,38587769.66
Department of State,2025,WA,Washington,38547424.94
National Aeronautics and Space Administration,2025,IL,Illinois,37895191.74
Federal Communications Commission,2025,LA,Louisiana,37809597.19
Small Business Administration,2025,VA,Virginia,37578787.47
Agency for International Development,2025,RI,Rhode Island,36803584.00
National Science Foundation,2025,ND,North Dakota,36556201.00
Federal Communications Commission,2025,MA,Massachusetts,35619364.48
Corporation for National and Community Service,2025,DC,District of Columbia,35494168.83
Corporation for National and Community Service,2025,NY,New York,35428678.50
National Science Foundation,2025,AR,Arkansas,35388799.00
Department of Education,2025,MP,Northern Mariana Islands,35273732.18
Department of Veterans Affairs,2025,VT,Vermont,35186557.84
Department of Education,2025,VI,U.S. Virgin Islands,34995174.55
National Aeronautics and Space Administration,2025,IA,Iowa,32946490.60
Agency for International Development,2025,CA,California,32910869.21
Executive Office of the President,2025,FL,Florida,32771579.00
Pension Benefit Guaranty Corporation,2025,MA,Massachusetts,32721113.67
National Science Foundation,2025,SD,South Dakota,32315356.00
National Aeronautics and Space Administration,2025,GA,Georgia,32166406.07
Department of State,2025,GA,Georgia,32143282.18
Executive Office of the President,2025,CA,California,32012955.00
National Aeronautics and Space Administration,2025,NM,New Mexico,31678516.92
Executive Office of the President,2025,TX,Texas,31595415.00
Millennium Challenge Corporation,2025,DC,District of Columbia,31415134.60
Federal Communications Commission,2025,OR,Oregon,31405040.52
National Science Foundation,2025,MT,Montana,31251677.00
Nuclear Regulatory Commission,2025,DC,District of Columbia,30954750.53
Department of Veterans Affairs,2025,ID,Idaho,30773011.36
Department of Agriculture,2025,MT,Montana,30639203.39
Federal Communications Commission,2025,NJ,New Jersey,30402916.36
